pelicula,pelicula_año,episodio,link_letterboxd
Glorious,2022,Entré por el glory hole y me quedé por lo otro,https://letterboxd.com/film/glorious-2022/
Fall,2022,¿Para esto mi abuela se puso en bolas?,https://letterboxd.com/film/fall-2022/
Vengeance,2022,¿Para esto mi abuela se puso en bolas?,https://letterboxd.com/film/vengeance-2022/
Emily the Criminal,2022,No le confiaria los corgis,https://letterboxd.com/film/emily-the-criminal/
Orphan: First Kill,2022,Viciosa como la madre,https://letterboxd.com/film/orphan-first-kill/
"Argentina, 1985",2022,Una coyuntura de mierda,https://letterboxd.com/film/argentina-1985/
Bodies Bodies Bodies,2022,¿Cómo te metés un podcast en el culo?,https://letterboxd.com/film/bodies-bodies-bodies/
Speak No Evil,2022,¿Cómo te metés un podcast en el culo?,https://letterboxd.com/film/speak-no-evil-2022/
30 Nights with My Ex,2022,Viste cómo son las minas,https://letterboxd.com/film/30-nights-with-my-ex/
Hellraiser,2022,El sostén emocional de una pareja en crisis,https://letterboxd.com/film/hellraiser-2022/
Halloween Ends,2022,El sostén emocional de una pareja en crisis,https://letterboxd.com/film/halloween-ends/
Barbarian,2022,El sostén emocional de una pareja en crisis,https://letterboxd.com/film/barbarian-2022/
Pearl,2022,El sostén emocional de una pareja en crisis,https://letterboxd.com/film/pearl-2022/
Terrifier 2,2022,La larga noche de los Benvenuto,https://letterboxd.com/film/terrifier-2/
Piggy,2022,Spielberg coge y llora,https://letterboxd.com/film/piggy-2022/
Incredible But True,2022,Spielberg coge y llora,https://letterboxd.com/film/incredible-but-true/
The Viewing,2022,Quiere Ouija,https://letterboxd.com/film/the-viewing/
The Marriage App,2022,Nuestro amigo hizo una película,https://letterboxd.com/film/the-marriage-app/
Violent Night,2022,Marcado una vez más la agenda cultural mundial,https://letterboxd.com/film/violent-night/
Christmas Bloody Christmas,2022,Marcado una vez más la agenda cultural mundial,https://letterboxd.com/film/christmas-bloody-christmas/
Glass Onion,2022,Todo lo que es el tema de la salud mental,https://letterboxd.com/film/glass-onion/
Bones and All,2022,Todo lo que es el tema de la salud mental,https://letterboxd.com/film/bones-and-all/
The Fabelmans,2022,Todo lo que es el tema de la salud mental,https://letterboxd.com/film/the-fabelmans/
Mad Heidi,2022,Los papitos separados,https://letterboxd.com/film/mad-heidi/
There's Something Wrong with the Children,2023,No me siento un poco bien,https://letterboxd.com/film/theres-something-wrong-with-the-children/
M3GAN,2022,No me siento un poco bien,https://letterboxd.com/film/m3gan/
Sick,2022,¿Esto se puede coger?,https://letterboxd.com/film/sick-2022/
I Wanna Dance with Somebody,2022,Los ángeles de la droga,https://letterboxd.com/film/i-wanna-dance-with-somebody/
Infinity Pool,2023,Sarah Connor: mamá luchona,https://letterboxd.com/film/infinity-pool/
She Said,2022,No me sale lo femenino,https://letterboxd.com/film/she-said-2022/
Women Talking,2022,No me sale lo femenino,https://letterboxd.com/film/women-talking/
The Whale,2022,Todos somos la segunda marca de alguien,https://letterboxd.com/film/the-whale-2022/
Missing,2023,Pobrecita: es bruta,https://letterboxd.com/film/missing-2023/
Cocaine Bear,2023,El buttplug y el juguete de perro son intercambiables,https://letterboxd.com/film/cocaine-bear/
John Wick: Chapter 4,2023,Podés ver Elsa y Fred o podés ver John Wick 4,https://letterboxd.com/film/john-wick-chapter-4/
Soft & Quiet,2022,Podés ver Elsa y Fred o podés ver John Wick 4,https://letterboxd.com/film/soft-quiet/
Kill Boksoon,2023,En ninguna situación el esperma de un hijo debe estar adentro de una madre,https://letterboxd.com/film/kill-boksoon/
Air,2023,Puntos suspensivos es sinónimo de coger,https://letterboxd.com/film/air-2023/
Inside,2023,El Aleph con Pablo y Pachu,https://letterboxd.com/film/inside-2023/
Renfield,2023,Tuvieron dos hijos influencers de cine,https://letterboxd.com/film/renfield/
Evil Dead Rise,2023,Tuvieron dos hijos influencers de cine,https://letterboxd.com/film/evil-dead-rise/
The Pope's Exorcist,2023,101: Es como caminar sobre cáscaras de huevo,https://letterboxd.com/film/the-popes-exorcist/
To Catch a Killer,2023,102: Menos timing que el Mono Mario,https://letterboxd.com/film/to-catch-a-killer-2023/
Sisu,2022,103: Greta Thunberg es la Juan Carr de ellos,https://letterboxd.com/film/sisu-2022/
